N,P,K,temperature,humidity,ph,rainfall,label,,,,,,
133,47,24,24.40228894,79.19732001,7.231324765,90.8022356,cotton,,,,,,
136,36,20,23.09595631,84.86275707,6.925412377,71.29581071,cotton,,,,,,
104,47,18,23.9656349,76.97696717,7.633437412,90.75616738,cotton,,,,,,
133,47,23,24.88738107,75.62137159,6.827354668,89.76050416,cotton,,,,,,
126,38,23,25.36243778,83.63276077,6.176716425,88.43618918,cotton,,,,,,
126,50,19,24.69457084,81.7358876,6.628722836,78.58494391,cotton,,,,,,
113,41,20,25.0017188,80.53965818,7.256877571,96.32600992,cotton,,,,,,
121,45,22,22.45942937,81.30681027,6.443785385,64.23026638,cotton,,,,,,
121,47,16,23.60564038,79.29573149,7.723240151,72.49800885,cotton,,,,,,
129,60,22,24.58453146,79.12404171,5.947448589,71.94608134,cotton,,,,,,
107,45,25,23.0865933,83.55546146,7.227745516,71.84080724,cotton,,,,,,
122,59,18,23.5000992,83.63488952,6.219469084,79.81328183,cotton,,,,,,
140,38,15,24.1472953,75.88298598,6.021439523,69.91563467,cotton,,,,,,
102,49,21,24.69315538,84.84422454,6.253343655,89.799462,cotton,,,,,,
111,40,25,24.484692,84.44932014,6.187455799,90.94342484,cotton,,,,,,
131,35,18,24.49112609,82.24415809,7.057693366,64.02949379,cotton,,,,,,
135,43,16,23.47986888,81.73049149,6.720449769,86.76287924,cotton,,,,,,
100,46,18,24.18586246,76.04203958,6.431689506,69.08056728,cotton,,,,,,
123,39,24,25.00755095,78.17952126,7.453106264,86.06411872,cotton,,,,,,
117,56,15,25.99237426,77.0543546,7.368258226,89.1188212,cotton,,,,,,
121,36,24,23.66457347,81.69105088,7.352401887,99.36898373,cotton,,,,,,
101,58,18,25.66891439,81.38103349,6.652143699,78.59595817,cotton,,,,,,
107,42,24,22.04612876,84.62978302,6.144631795,86.00758678,cotton,,,,,,
100,41,22,22.4204752,84.55794703,7.318802162,93.46595573,cotton,,,,,,
125,39,21,25.03149561,82.21276599,7.954629324,95.0191318,cotton,,,,,,
105,60,23,23.53371386,77.21705554,6.207652157,87.54004943,cotton,,,,,,
102,46,19,22.77076388,82.5993307,6.631005298,81.49543437,cotton,,,,,,
131,49,22,25.49848236,79.9751579,7.306918817,67.05961949,cotton,,,,,,
139,35,15,25.248679,83.4630147,5.898293044,86.55517751,cotton,,,,,,
108,36,19,22.78249615,77.51235009,7.238566893,64.61444234,cotton,,,,,,
118,45,23,23.37044424,77.43198948,7.977651226,71.67870701,cotton,,,,,,
107,51,22,24.86560781,78.22080815,5.983075895,79.56866268,cotton,,,,,,
125,60,17,24.14386157,84.51591287,6.785723961,80.36146974,cotton,,,,,,
113,37,20,25.03300222,79.04368718,7.393441155,97.10087029,cotton,,,,,,
131,52,16,23.65724079,84.47601498,6.486068274,88.54479121,cotton,,,,,,
115,48,16,25.54359718,84.09229796,7.175934962,88.94245493,cotton,,,,,,
